统计量,p值,是否正态
0.8774,0.0,False
0.8721,0.0,False
0.8838,0.0001,False
0.8465,0.0,False
0.9065,0.0004,False
0.9445,0.0133,False
0.9731,0.2528,True
0.951,0.0255,False
0.8885,0.0001,False
0.8148,0.0,False
0.8455,0.0,False
0.6563,0.0,False
0.9635,0.0938,True
0.9075,0.0005,False
0.9432,0.0117,False
0.599,0.0,False
0.6024,0.0,False
0.9357,0.0056,False
0.8029,0.0,False
0.9368,0.0063,False
0.961,0.0715,True
0.8915,0.0001,False
0.7964,0.0,False
0.9654,0.1144,True
0.6819,0.0,False
0.7775,0.0,False
0.9438,0.0124,False
0.9298,0.0032,False
0.7747,0.0,False
0.9461,0.0156,False
0.9478,0.0183,False
0.9298,0.0032,False
0.9363,0.006,False
0.9311,0.0037,False
0.7681,0.0,False
0.9568,0.0465,False
0.9293,0.0031,False
0.9053,0.0004,False
0.9267,0.0024,False
0.9086,0.0005,False
0.898,0.0002,False
0.7996,0.0,False
0.9307,0.0035,False
0.9146,0.0008,False
0.8819,0.0001,False
0.9451,0.014,False
0.6363,0.0,False
0.922,0.0016,False
0.9359,0.0057,False
0.7877,0.0,False
0.8815,0.0001,False
0.9171,0.001,False
0.9367,0.0062,False
0.9056,0.0004,False
