,公因子1,公因子2,公因子3,公因子4,公因子5,公因子6,公因子7,公因子8,公因子9
IaaS使用量_万核时,0.3215309238007888,0.3396747004832833,-0.1597862940190608,0.3047680757570317,0.017356892241825288,0.39982393651609754,0.15615613880195656,-0.28963495609043527,-0.1339683308842609
PaaS使用量_万次调用,0.4558558537780423,0.19312803893700317,-0.04586329719833593,0.11093756974256994,0.46835379706654295,0.07864786889202487,0.08488976068394448,-0.0017258591251947336,0.21417480350173387
SaaS活跃用户数_万,0.3609645296377416,-0.04948219176908257,-0.0703546563561385,0.560371305092738,0.28592049431250843,0.2993062551474009,-0.048061187615259036,0.2624260540755262,-0.19714027730841338
政务API调用量_亿次,0.2334580521492487,0.6904608542376423,0.12420155317211118,0.18927129502351972,0.08059826571070719,0.08620462136515877,-0.027185700923962827,0.05404735989955323,0.04543443107610097
金融API调用量_亿次,0.06992236648265121,0.27409691494854715,0.21522444525130147,0.027155651042983495,-0.021285838809107456,0.6453522728462541,0.09838420075231144,0.012362273240381128,0.01815008986929756
医疗API调用量_亿次,0.6165300904884161,0.012968855529945995,0.07647829659153789,0.15995185510363505,0.13439545499481148,0.10790949309505664,0.0023040967213419847,0.0791087768046885,-0.17554088637330986
数据交易笔数_万笔,0.09788516878641597,0.06048267947780087,-0.058638657514372285,0.19615046926469937,0.8487797572267299,0.022083203872153005,0.13648293827832272,0.11218021321922432,0.033256362346312816
区块链存证量_万条,0.7624838444738327,0.16379770748161734,-0.01977798827056151,0.0036697747737813578,0.12947759133982678,0.012550265500966117,0.17316793266578207,-0.003612488561974548,-0.004999791729777488
人均GDP_万元,0.1545276797113126,0.09384912613807724,0.9670308579706548,0.0354887632649005,0.03159907121277954,0.10242571501638215,0.00444335981750512,0.049794259473261715,-0.10962996305890549
实际利用外资FDI_亿美元,-0.024680158628479883,0.09010031167274425,-0.10382900562753546,-0.005252900103691074,0.07584198217441412,0.07895138923849136,0.07003458988500079,0.04065561313564817,0.7978612505635415
研发经费投入_亿元,0.4777350935315983,0.5768665101097058,-0.05475814425676174,0.2760444245270027,0.20242120370672714,0.16078209319561693,0.20890503538936392,0.16635593611276941,0.008807369670585723
PCT专利申请量,0.20837806213307575,0.13475618771294054,0.0019886146488461982,0.2704074839820716,0.26685111443329373,0.01996439356609559,0.06398906261201222,0.6782534392245232,0.044929094601382245
科技型中小企业数,0.2484015376846273,0.22924517909241623,-0.1777574189234162,-0.11494897916774746,0.13886621185315684,0.5696711020324129,-0.09597101016001888,0.14524317706473364,0.25954140924492713
独角兽企业估值_亿美元,0.6970909457781492,0.10355281031776903,-0.04247958384619417,0.24742489641580867,-0.17200123423794722,0.2286354427437836,0.061849114525536084,0.25636406771678116,0.2565572920828714
科技人才数量_万人,0.07435759287824473,0.7207075191870503,-0.023927695991463133,0.12478872167059095,0.1734077726291219,0.17208997544037186,0.08804100294077497,0.1484440995091256,0.03272048929112552
新增博硕士人数_人,-0.019085762386645434,0.6288161484223406,-0.14152771481688398,-0.09696256962119583,-0.0405149009875582,0.13292310092669796,0.04611882754994555,-0.0013380447696476297,0.08180631258358859
5G基站密度_个每平方公里,-0.13467539389292396,-0.18302068046212022,0.7576946203923416,-0.03598790112165691,-0.1008869853174948,-0.03343369100984693,0.03802332147716808,-0.07310326257564832,-0.034812901732411534
算力规模_PFLOPS,0.04272171259864245,0.46849796958136974,-0.06752149979758412,0.020669411889087903,-0.10802788466904162,0.08756323805076723,0.06392928514601501,0.49154850654961874,0.03404643535526395
物联网连接数_万个,0.21835835866889233,0.13703023842426734,0.055211135185239596,0.12153236009576247,0.17362294842953205,0.05753357914091282,0.9281770089854237,0.0755082039721504,0.09381769017026702
工业互联网标识解析量_亿次,0.19474441268868006,0.2234278324960874,0.04199959010172146,0.8163677931712888,0.20423096300031393,-0.13047082618817668,0.1666128405963847,0.14834527272252923,0.07146729086472409
